GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-10-11,41900406,Final,1610612748,1610612747,2019,1610612748,93.0,"0,44","0,59","0,36",25.0,41.0,1610612747,106.0,"0,483","0,643","0,314",23.0,46.0,0
2020-10-09,41900405,Final,1610612747,1610612748,2019,1610612747,108.0,"0,46","0,86","0,37",21.0,41.0,1610612748,111.0,"0,458","0,955","0,424",26.0,35.0,0
2020-10-06,41900404,Final,1610612748,1610612747,2019,1610612748,96.0,"0,43","0,81","0,34",18.0,39.0,1610612747,102.0,"0,443","0,857","0,359",25.0,42.0,0
2020-10-04,41900403,Final,1610612748,1610612747,2019,1610612748,115.0,"0,51","0,91","0,35",25.0,37.0,1610612747,104.0,"0,43","0,759","0,333",23.0,43.0,1
2020-10-02,41900402,Final,1610612747,1610612748,2019,1610612747,124.0,"0,51","0,59","0,34",32.0,44.0,1610612748,114.0,"0,507","0,912","0,407",29.0,37.0,1
2020-09-30,41900401,Final,1610612747,1610612748,2019,1610612747,116.0,"0,45","0,93","0,40",26.0,54.0,1610612748,98.0,"0,427","0,786","0,314",23.0,36.0,1
2020-09-27,41900306,Final,1610612748,1610612738,2019,1610612748,125.0,"0,56","0,85","0,48",30.0,40.0,1610612738,113.0,"0,434","0,8","0,326",26.0,42.0,1
2020-09-26,41900315,Final,1610612747,1610612743,2019,1610612747,117.0,"0,55","0,83","0,38",24.0,43.0,1610612743,107.0,"0,422","0,885","0,267",23.0,36.0,1
2020-09-25,41900305,Final,1610612738,1610612748,2019,1610612738,121.0,"0,45","0,86","0,32",29.0,50.0,1610612748,108.0,"0,453","0,793","0,194",27.0,38.0,1
2020-09-24,41900314,Final,1610612743,1610612747,2019,1610612743,108.0,"0,51","0,87","0,36",22.0,33.0,1610612747,114.0,"0,475","0,8","0,333",23.0,41.0,0
2020-09-23,41900304,Final,1610612748,1610612738,2019,1610612748,112.0,"0,43","0,89","0,27",20.0,40.0,1610612738,109.0,"0,476","0,81","0,35",28.0,46.0,1
2020-09-22,41900313,Final,1610612743,1610612747,2019,1610612743,114.0,"0,55","0,79","0,38",26.0,44.0,1610612747,106.0,"0,518","0,636","0,231",27.0,25.0,1
2020-09-20,41900312,Final,1610612747,1610612743,2019,1610612747,105.0,"0,45","0,95","0,36",23.0,44.0,1610612743,103.0,"0,473","0,758","0,333",22.0,31.0,1
2020-09-19,41900303,Final,1610612748,1610612738,2019,1610612748,106.0,"0,39","0,82","0,27",21.0,42.0,1610612738,117.0,"0,482","0,867","0,346",27.0,50.0,0
2020-09-18,41900311,Final,1610612747,1610612743,2019,1610612747,126.0,"0,53","0,73","0,42",33.0,34.0,1610612743,114.0,"0,494","0,821","0,346",23.0,37.0,1
2020-09-17,41900302,Final,1610612738,1610612748,2019,1610612738,101.0,"0,50","0,79","0,36",19.0,41.0,1610612748,106.0,"0,444","0,857","0,326",27.0,38.0,0
2020-09-15,41900301,Final,1610612738,1610612748,2019,1610612738,114.0,"0,44","0,91","0,36",24.0,37.0,1610612748,117.0,"0,471","0,75","0,444",32.0,41.0,0
2020-09-15,41900237,Final,1610612746,1610612743,2019,1610612746,89.0,"0,38","0,75","0,26",21.0,37.0,1610612743,104.0,"0,494","0,938","0,351",22.0,53.0,0
2020-09-13,41900236,Final,1610612743,1610612746,2019,1610612743,111.0,"0,54","0,70","0,48",26.0,41.0,1610612746,98.0,"0,41","0,889","0,37",20.0,37.0,1
2020-09-12,41900225,Final,1610612747,1610612745,2019,1610612747,119.0,"0,53","0,76","0,51",25.0,50.0,1610612745,96.0,"0,371","0,708","0,265",18.0,31.0,1
2020-09-11,41900235,Final,1610612746,1610612743,2019,1610612746,105.0,"0,42","0,88","0,38",22.0,41.0,1610612743,111.0,"0,481","0,84","0,444",20.0,44.0,0
